id,user_name,user_location,date,text,hashtags,retweets,favorites,Country,Latitude,Longitude,cleaned_text
1629312302779613187,Mitch King,"Brisbane, Australia",2023-02-25 02:48:18+00:00,Disaster response  must prioritise  accessibility and availability of healthcare services to mitigate potential dis… https://t.co/X0uYrVoJyU,,0.0,1.0,Australia,-25.2744,133.7751,disaster response must prioritise accessibility availability healthcare service mitigate potential dis
1629310648646799360,Mitch King,"Brisbane, Australia",2023-02-25 02:41:44+00:00,Humanitarian response efforts in the Turkey and Syria earthquake must prioritise identifying and mitigating potenti… https://t.co/64BUFcJBgL,,0.0,1.0,Australia,-25.2744,133.7751,humanitarian response effort turkey syria earthquake must prioritise identifying mitigating potenti
1629309359586148352,Pragativadi,"Bhubaneswar, India",2023-02-25 02:36:37+00:00,"Supermodel Bella Hadid helps aid efforts for Turkish quake survivors

#BellaHadid #TurkeyEarthquake 

https://t.co/ORiyHxq87E","['BellaHadid', 'TurkeyEarthquake']",0.0,0.0,India,20.5937,78.9629,supermodel bella hadid help aid effort turkish quake survivor bellahadid turkeyearthquake
1629280714146414592,Ashis Basu,Canada,2023-02-25 00:42:47+00:00,"Ayla Jean Yackley, a freelance journalist who has been covering the earthquake for the Financial Times.

Also featu… https://t.co/CX8B245aNh",,0.0,0.0,Canada,56.1304,-106.3468,ayla jean yackley freelance journalist covering earthquake financial time also featu
1629235121046839305,🇹🇷 🇬🇧 Turkey Türkiye,Turkey,2023-02-24 21:41:37+00:00,"The number of deaths from the #earthquakes in #Turkey amounts now to 44,218, according to the latest death toll pro… https://t.co/QhlmdaVs5T","['earthquakes', 'Turkey']",4.0,14.0,Turkey,38.9637,35.2433,number death earthquake turkey amount according latest death toll pro
1629228926059921408,Mitch King,"Brisbane, Australia",2023-02-24 21:17:00+00:00,"Discover our ""International Crisis Insights: The Turkey Earthquake Response"" video series. With the delivery of res… https://t.co/H3Vroa35VO",,0.0,0.0,Australia,-25.2744,133.7751,discover international crisis insight turkey earthquake response video series delivery re
1629209001446498309,MOHAMED SALAD (BARRE),United States,2023-02-24 19:57:49+00:00,There is still support for our Turkish brothers; let us join them by using the accounts listed below.… https://t.co/G3LrJnB2dP,,2.0,4.0,United States,37.0902,-95.7129,still support turkish brother let u join using account listed
1629206844622209024,"Ana Oprisan, PhD","Strasbourg, France",2023-02-24 19:49:15+00:00,"#TurkeyEarthquake 🇹🇷
Food, hygiene items, tents and cash from what you send us help Roma, Dom and Abdal families fr… https://t.co/zNwlfk2LFJ",['TurkeyEarthquake'],2.0,12.0,France,46.6034,1.8883,turkeyearthquake food hygiene item tent cash send u help rom dom abdal family fr
1629191087808970753,🇹🇷 🇬🇧 Turkey Türkiye,Turkey,2023-02-24 18:46:38+00:00,"#Earthquakes in #Turkey have left 1.5 million people #homeless. Currently 865,000 #earthquake #survivors live in te… https://t.co/S4pyDzM8CT","['Earthquakes', 'Turkey', 'homeless', 'earthquake', 'survivors']",10.0,18.0,Turkey,38.9637,35.2433,earthquake turkey left million people homeless currently earthquake survivor live te
1629174795253465088,NonStopMedia Broadcasting Private Limited,"Tiruppur, India",2023-02-24 17:41:54+00:00,Turkey to get another major 7-7.5 Magnitude of #Earthquake will possible in between surroundings of #Elazig - and… https://t.co/XeRVizuJzr,"['Earthquake', 'Elazig']",3.0,5.0,India,20.5937,78.9629,turkey get another major magnitude earthquake possible surroundings elazig
1629866947667169281,🅱️arun Jena,"Bhubaneshwar, India",2023-02-26 15:32:16+00:00,"Earthquake in Turkey, Syria, Thailand, Japan, all in just 30 days. All signs of an upcoming cataclysm called the ea… https://t.co/OCVeLMq17a",,0.0,2.0,India,20.5937,78.9629,earthquake turkey syria thailand japan day sign upcoming cataclysm called ea
1629856239399124993,🇵🇰Mohammad Neelmi🇹🇷,Canada,2023-02-26 14:49:43+00:00,Gratitude of the Turkish nation A message of thanks to more than 80 countries that contributed to the earthquake wa… https://t.co/VZ5sHmrTOQ,,0.0,1.0,Canada,56.1304,-106.3468,gratitude turkish nation message thanks country contributed earthquake wa
1629822831365353472,Prem Thangaraj Nadar,India,2023-02-26 12:36:58+00:00,Bhakt's logic: Modi govt is not responsible for the safety and security of people in India's non BJP states but the… https://t.co/ZPDUlqBFo4,,0.0,1.0,India,20.5937,78.9629,bhakt logic modi govt responsible safety security people india non bjp state
1629811999453646848,Linda LoPresti,Australia,2023-02-26 11:53:55+00:00,More than 600 people are being investigated in connection with buildings that collapsed during the #TurkeyQuake… https://t.co/S8qRRKtb2w,['TurkeyQuake'],2.0,3.0,Australia,-25.2744,133.7751,people investigated connection building collapsed turkeyquake
1629789657863995392,Arun Dwivedi,"Chitrakoot Dham, India",2023-02-26 10:25:09+00:00,"After #turkeyearthquake2023,The earthquake was caused of 6.1_magnitude In #Japan by the rupture of a… https://t.co/LhaAVGVA4f","['turkeyearthquake2023', 'Japan']",0.0,3.0,India,20.5937,78.9629,turkeyearthquake earthquake caused magnitude japan rupture
1629764971067486208,Manjeet Shergill,"Chandigarh, India",2023-02-26 08:47:03+00:00,"Japan-quake hits . Another earthquake in Japan after #TurkeyQuake &amp; #Syria_earthquake
Pray for Japan  🙏… https://t.co/H77ssedYoT","['TurkeyQuake', 'Syria_earthquake']",0.0,6.0,India,20.5937,78.9629,japan quake hit another earthquake japan turkeyquake amp syria earthquake pray japan
1629713541409431554,Sunil Kumar⚡ 🇮🇳,"Uttar Pradesh, India",2023-02-26 05:22:41+00:00,"#JapanEarthquake #JapanEarthquake
Japan-quake hits 😭. Another earthquake in Japan after #Turkeyquake &amp; #Syria_earthquake
Pray for Japan  🙏","['JapanEarthquake', 'JapanEarthquake', 'Turkeyquake', 'Syria_earthquake']",0.0,1.0,India,20.5937,78.9629,japanearthquake japanearthquake japan quake hit another earthquake japan turkeyquake amp syria earthquake pray japan
1629670953168044032,Sayan Shib,"Agartala, India",2023-02-26 02:33:27+00:00,"#JapanEarthquake
Japan-quake hits 😭. Another earthquake in Japan after #TurkeyQuake &amp; #Syria_earthquake
Pray for Ja… https://t.co/q0beof507V","['JapanEarthquake', 'TurkeyQuake', 'Syria_earthquake']",9.0,53.0,India,20.5937,78.9629,japanearthquake japan quake hit another earthquake japan turkeyquake amp syria earthquake pray ja
